,MSE,P,used_vars,R_adj
0,786992508.1596433,34,"['Condition_1_infrequent_sklearn', 'Neighborhood_NoRidge_x_Gr_Liv_Area', 'Alley_No_Alley_Access', 'Condition_1_Norm', 'Bsmt_Qual_TA', 'Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8820019134257882
1,767770070.9145262,33,"['Neighborhood_NoRidge_x_Gr_Liv_Area', 'Alley_No_Alley_Access', 'Condition_1_Norm', 'Bsmt_Qual_TA', 'Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8855418439604682
2,794961638.3904049,32,"['Alley_No_Alley_Access', 'Condition_1_Norm', 'Bsmt_Qual_TA', 'Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8821615234378535
3,798347703.4547086,31,"['Condition_1_Norm', 'Bsmt_Qual_TA', 'Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8823281912436607
4,801230116.8530977,30,"['Bsmt_Qual_TA', 'Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.882566804651702
5,796871558.4933705,29,"['Garage_Finish_RFn', 'Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8838581042318383
6,786160710.2176999,28,"['Lot_Config_Inside', 'Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8860557417879876
7,771821798.0133069,27,"['Enclosed_Porch', 'Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.888752033778933
8,818045418.2438635,26,"['Exter_Qual_Gd', 'Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8827373664081452
9,796885489.6962767,25,"['Full_Bath', 'Neighborhood_Crawfor_x_Gr_Liv_Area', 'Kitchen_Qual_Gd', 'Garage_Cars', 'Overall_Qual_Good_or_Excellent', 'Bsmt_Qual_Gd', 'Fireplaces', 'MS_Zoning_RL', 'Kitchen_Qual_TA', 'House_Style_1Story', 'Neighborhood_NridgHt_x_Gr_Liv_Area', 'Central_Air_Y', 'Bedroom_AbvGr', 'Lot_Area', 'Area_Per_Room_c_', 'Garage_Area', '1st_Flr_SF', 'Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_', 'TotRms_AbvGrd', 'Gr_Liv_Area', 'Total_Bsmt_SF', 'Bsmt_Qual_Gd_x_Bsmt_Prop_c_', '2nd_Flr_SF', 'Year_Built', 'Antique_c_']",0.8863947388499525
